uid, gpa all,piazza-contribution,perceived-stress-scale-survey-pre,perceived-stress-scale-survey-post
u00,,144,3.6,2.9
u01,2.863,5,3.1,3.2
u02,3.505,0,2.9,3.7
u03,,30,1.9,2.8
u04,3.029,1,2.9,3.1
u05,3.679,1,3.1,2.7
u06,,,,
u07,3.474,12,3.4,3.4
u08,3.705,45,3.5,
u09,3.806,20,2.7,3.3
u10,3.667,26,3.6,3.5
u11,,,,
u12,3.245,6,2.9,
u13,,620,2.5,
u14,3.293,16,2.9,3.4
u15,2.815,5,3.2,2.7
u16,3.373,3,3.8,4
u17,3.476,26,3.7,3.6
u18,3.474,6,3.5,3.6
u19,3.947,20,2.6,3.7
u20,,2,3,3.4
u21,,,,
u22,3.889,14,2.6,
u23,,2,3.7,3.4
u24,2.987,4,3,2.8
u25,2.765,1,,
u26,,,,
u27,3.719,7,3,3.3
u28,,,,
u29,,,,
u30,3.93,23,3.3,3
u31,,15,3.222222222,2.3
u32,3.826,5,2.7,3.2
u33,2.815,28,3.3,3.5
u34,,0,3,3
u35,,0,3.2,2.8
u36,,4,2.8,2.6
u37,,,,
u38,,,,
u39,,3,,
u40,,,,
u41,3.652,27,,
u42,,1,3,2.5
u43,3.79,27,3.5,2.9
u44,,0,2.6,2.8
u45,,0,2.666666667,2.6
u46,3.646,14,3.5,3.8
u47,,1,3,3
u48,,,,
u49,3.625,10,3.4,3
u50,,10,2.5,
u51,,39,2.6,3
u52,2.4,0,3.6,3.5
u53,,0,3.5,3.2
u54,3.343,3,3.1,3.4
u55,,,,
u56,,0,2.9,2.9
u57,3.389,17,2.9,
u58,,2,3.2,
u59,3.519,10,3.4,3.1